Location,Price,Hour,Time_of_Day,Day,Day_W,Month,Year,Season,High_Qual,Position,Seafront
San Jose,314.6440511781974,23,Evening,25,Saturday,6,2022,summer,False,west,seacost
Dallas,267.3416606019323,18,Evening,20,Sunday,2,2022,winter,True,south,inland
Dallas,242.60794273576164,15,Afternoon,12,Friday,7,2019,summer,False,south,inland
Houston,229.87430025931727,22,Evening,9,Saturday,12,2023,winter,False,south,seacost
San Antonio,184.7309598677809,10,Morning,15,Saturday,4,2017,spring,False,south,inland
Chicago,275.01458713599743,2,Night,2,Thursday,2,2017,winter,False,midwest,seacost
Philadelphia,243.7726749283001,23,Evening,28,Saturday,9,2019,autumn,False,east,seacost
Dallas,306.19006017205754,22,Evening,30,Monday,10,2017,autumn,True,south,inland
Chicago,351.279062520247,5,Night,5,Monday,10,2015,autumn,True,midwest,seacost
Philadelphia,229.6947948947022,23,Evening,14,Thursday,11,2019,autumn,False,east,seacost
New York,387.5175114247994,20,Evening,3,Friday,1,2020,winter,True,east,seacost
San Diego,288.0905775308132,6,Morning,1,Friday,4,2022,spring,False,southwestern,seacost
New York,320.4133683281797,16,Afternoon,9,Wednesday,8,2023,summer,False,east,seacost
Dallas,313.63126042438546,16,Afternoon,2,Saturday,4,2022,spring,True,south,inland
San Jose,171.3108174593661,23,Evening,20,Sunday,6,2021,summer,False,west,seacost
Chicago,140.91103192836977,14,Afternoon,6,Tuesday,12,2016,winter,False,midwest,seacost
Phoenix,104.04367948806514,23,Evening,12,Saturday,2,2022,winter,False,southwestern,inland
Los Angeles,373.1335567534226,18,Evening,5,Thursday,11,2020,autumn,False,west,seacost
New York,383.4470252849552,19,Evening,31,Sunday,1,2021,winter,False,east,seacost
Los Angeles,383.60340150910935,12,Afternoon,7,Wednesday,12,2022,winter,True,west,seacost
San Jose,443.5855026698292,18,Evening,29,Thursday,8,2019,summer,True,west,seacost
San Jose,389.747569265017,7,Morning,21,Tuesday,6,2016,summer,True,west,seacost
Phoenix,192.2958724505864,8,Morning,3,Saturday,12,2022,winter,False,southwestern,inland
Los Angeles,358.5481693602076,2,Night,21,Wednesday,10,2020,autumn,False,west,seacost
Dallas,136.02037369116533,4,Night,26,Monday,9,2022,autumn,False,south,inland
Dallas,250.7826246920553,3,Night,24,Friday,4,2020,spring,False,south,inland
San Jose,193.005986222714,0,Night,3,Thursday,12,2020,winter,False,west,seacost
Chicago,346.7205400919001,22,Evening,3,Sunday,9,2017,autumn,True,midwest,seacost
Los Angeles,286.11753009002,18,Evening,25,Wednesday,1,2017,winter,False,west,seacost
San Antonio,182.9323879981048,23,Evening,8,Saturday,8,2020,summer,False,south,inland
Chicago,183.49334690511049,13,Afternoon,15,Saturday,2,2020,winter,False,midwest,seacost
Philadelphia,331.30075925289634,5,Night,1,Monday,11,2021,autumn,False,east,seacost
Houston,210.3530730876407,2,Night,8,Thursday,12,2022,winter,False,south,seacost
Los Angeles,299.16150568322155,1,Night,10,Friday,4,2015,spring,False,west,seacost
San Diego,145.26114412217945,15,Afternoon,1,Wednesday,7,2020,summer,False,southwestern,seacost
San Jose,335.2906491227632,2,Night,24,Friday,11,2023,autumn,False,west,seacost
Dallas,244.6610589989328,19,Evening,25,Wednesday,1,2017,winter,False,south,inland
Los Angeles,312.7415191249319,4,Night,8,Wednesday,3,2017,spring,False,west,seacost
San Jose,433.1244235543873,15,Afternoon,21,Friday,10,2016,autumn,True,west,seacost
San Jose,354.5460897310451,18,Evening,25,Wednesday,10,2023,autumn,False,west,seacost
New York,257.8523701721358,19,Evening,6,Monday,2,2023,winter,False,east,seacost
Chicago,224.887668911842,15,Afternoon,28,Sunday,2,2016,winter,False,midwest,seacost
New York,359.28935877817946,2,Night,8,Friday,7,2022,summer,False,east,seacost
New York,168.06764148878096,22,Evening,1,Saturday,10,2016,autumn,False,east,seacost
Los Angeles,326.69468032478693,22,Evening,28,Tuesday,6,2016,summer,False,west,seacost
San Jose,351.1913608854478,9,Morning,4,Friday,2,2022,winter,False,west,seacost
